,English words/sentences,French words/sentences
5897,hes all right,el esta bien
5898,hes an animal,el es un animal
5899,hes an author,el es un escritor
5900,hes depressed,esta deprimido
5901,hes in danger,el esta en peligro
5902,hes in prison,el esta en prision
5903,hes my father,el es mi padre
5904,hes not going,el no va
5905,hes not ready,el no esta listo
5906,hes so stupid,es muy tonto
5907,hes too drunk,esta demasiado borracho
5908,hes uninsured,el no esta asegurado
5909,hello everyone,hola a todos
5910,help tom study,ayuda a tom a estudiar
5911,help tom study,ayudale a tom a estudiar
5912,help is coming,la ayuda esta llegando
5913,here comes tom,aqui viene tom
5914,here is a book,aqui hay un libro
5915,here is my key,aqui esta mi llave
5916,here they come,aqui vienen
5917,heres my card,aqui esta mi tarjeta
5918,heres the bus,aqui esta el bus
5919,here try this,toma prueba esto
5920,hey come here,oye ven aqui
5921,hey come here,oye venid aqui
5922,hey come here,oiga venga aqui
5923,hi come on in,hola pasa adelante
5924,hi come on in,hola entra
5925,hide that book,esconde ese libro
5926,hide the money,esconde la plata
5927,his head ached,le dolia la cabeza
5928,his son is ill,su hijo esta enfermo
5929,his son is ill,su hijo esta malo
5930,how are things,como van las cosas
5931,how can i help,como puedo ayudar
5932,how deep is it,cuan profundo es
5933,how disgusting,que asco
5934,how do we look,como nos vemos
5935,how good is he,como de bueno es
5936,how is it made,como lo hacen
5937,how is it made,como se hace
5938,how is it made,como esta hecho
5939,how lucky i am,que afortunado soy
5940,how much is it,cuanto cuesta eso
5941,how much is it,cuanto es
5942,how old is tom,cuantos anos tiene tom
5943,how tall is he,que tan alto es el
5944,how tall is he,como de alto es el
5945,how tall is he,cuanto mide el
5946,how was boston,que tal en boston
5947,hows business,como va el negocio
5948,hows the wife,como esta tu mujer
5949,hurry up guys,apurensen muchachos
5950,i already know,ya se
5951,i am a shy boy,soy un hombre timido
5952,i am a shy boy,soy un chico timido
5953,i am a student,soy estudiante
5954,i am a student,soy un estudiante
5955,i am a teacher,yo soy profesor
5956,i am a teacher,soy maestro
5957,i am a tourist,soy un turista
5958,i am a tourist,yo soy una turista
5959,i am an artist,soy un artista
5960,i am exhausted,estoy exhausto
5961,i am exhausted,estoy reventado
5962,i am exhausted,estoy agotado
5963,i am like them,soy como ellos
5964,i am not czech,yo no soy checo
5965,i am too short,soy demasiado bajo
5966,i am too short,soy demasiado pequeno
5967,i am very tall,soy muy alto
5968,i ate the meat,me comi la carne
5969,i ate too much,comi demasiado
5970,i believed you,te crei
5971,i bet it works,apuesto a que funciona
5972,i borrow money,presto dinero
5973,i bought a hat,compre un sombrero
5974,i broke a nail,me rompi una una
5975,i broke my arm,me he roto el brazo
5976,i broke my arm,me rompi el brazo
5977,i broke my leg,me rompi la pierna
5978,i brought wine,traje vino
5979,i came for you,vine por ti
5980,i came for you,vine por usted
5981,i came for you,vine por vosotros
5982,i came for you,vine por ustedes
5983,i came on foot,vine a pie
5984,i can do magic,puedo hacer magia
5985,i can fix this,puedo arreglar esto
5986,i can help tom,puedo ayudar a tom
5987,i can help you,puedo ayudarte
5988,i can prove it,puedo demostrarlo
5989,i cant get up,no puedo levantarme
5990,i cant see it,no lo puedo ver
5991,i count on tom,cuento con tom
5992,i deserve more,yo merezco mas
5993,i did it wrong,lo hice mal
5994,i did warn you,os avise
5995,i didnt budge,no cedi
5996,i didnt cheat,no engane
5997,i didnt cheat,no hice trampas
5998,i didnt do it,yo no lo he hecho
5999,i didnt drive,yo no he conducido
6000,i didnt laugh,no me rei
6001,i dislike eggs,odio los huevos
6002,i do like fish,a mi me gusta de veras el pescado
6003,i do not agree,no estoy de acuerdo
6004,i do notice it,si me doy cuenta
6005,i do notice it,lo noto
6006,i dont buy it,no me lo trago
6007,i dont buy it,no pico
6008,i dont follow,no sigo
6009,i dont get it,no entiendo
6010,i dont get it,no lo cojo
6011,i dont see it,no lo veo
6012,i dont see it,yo no lo veo
6013,i dont use it,no lo uso
6014,i drink coffee,bebo cafe
6015,i fear nothing,no le temo a nada
6016,i fear nothing,no temo nada
6017,i feel at ease,me siento en paz
6018,i feel for you,lo siento por ti
6019,i feel honored,me siento honrado
6020,i feel nothing,no siento nada
6021,i feel so lost,me siento tan perdido
6022,i feel trapped,me siento atrapado
6023,i feel useless,me siento inutil
6024,i felt cheated,me senti enganado
6025,i gave my word,empene mi palabra
6026,i get up early,yo me levanto temprano
6027,i go to school,voy a la escuela
6028,i got arrested,me arrestaron
6029,i got divorced,me divorcie
6030,i got homesick,me puse nostalgico
6031,i got homesick,tenia nostalgia
6032,i got up early,me levante temprano
6033,i guarantee it,lo garantizo
6034,i had a stroke,tuve un golpe
6035,i had some fun,me diverti
6036,i had to do it,tuve que hacerlo
6037,i hate mondays,odio los lunes
6038,i hate sundays,odio los domingos
6039,i hate dancing,odio bailar
6040,i hate dancing,detesto bailar
6041,i hate her now,la odio ahora
6042,i hate insects,odio a los insectos
6043,i hate ironing,odio planchar
6044,i hate ironing,detesto planchar
6045,i hate karaoke,odio el karaoke
6046,i hate lawyers,odio a los abogados
6047,i hate my boss,odio a mi jefe
6048,i hate parties,odio las fiestas
6049,i hate riddles,odio los acertijos
6050,i hate spiders,odio a las aranas
6051,i hate spinach,odio las espinacas
6052,i hate to iron,detesto planchar
6053,i hate working,odio trabajar
6054,i hate working,detesto trabajar
6055,i have a cough,tengo tos
6056,i have a dream,tengo un sueno
6057,i have a house,tengo una casa
6058,i have a hunch,tengo una corazonada
6059,i have a ranch,yo tengo un rancho
6060,i have a truck,tengo un camion
6061,i have an idea,tengo una idea
6062,i have no food,no tengo comida
6063,i have no home,no tengo hogar
6064,i have no home,no tengo casa
6065,i have no idea,ni idea
6066,i have no idea,no tengo idea
6067,i have no wife,no tengo esposa
6068,i have nothing,no tengo nada
6069,i have one kid,tengo un escuincle
6070,i have sisters,tengo hermanas
6071,i have to hide,me tengo que esconder
6072,i have to work,tengo que trabajar
6073,i hiccup a lot,tengo mucho hipo
6074,i hope you die,ojala que te mueras
6075,i hope you die,espero que te mueras
6076,i hope you win,espero que ganes
6077,i hurried home,me apresure a casa
6078,i hurried home,me fui a casa corriendo
6079,i hurried home,me volvi a casa corriendo
6080,i hurt my foot,me hice dano en el pie
6081,i hurt my foot,me lastime el pie
6082,i just gave up,sencillamente me rendi
6083,i just met him,me acabo de encontrar con el
6084,i just shouted,acabo de gritar
6085,i just want it,simplemente lo quiero
6086,i just want it,lo quiero ya
6087,i just want it,lo quiero y ya esta
6088,i kept my word,mantuve mi palabra
6089,i know it well,lo se bien
6090,i know the boy,conozco al chico
6091,i like english,me gusta el ingles
6092,i like castles,me gustan los castillos
6093,i like chicken,me gusta el pollo
6094,i like cookies,me gustan las galletas
6095,i like cooking,me gusta cocinar
6096,i like fishing,me gusta la pesca
6097,i like history,me gusta la historia
6098,i like jogging,me gusta trotar
6099,i like mahjong,me gusta el mahjongg
6100,i like my life,me gusta mi vida
6101,i like noodles,me gustan los fideos
6102,i like noodles,me gustan los tallarines
6103,i like picnics,me gusta ir de picnic
6104,i like puzzles,me gustan los rompecabezas
6105,i like sashimi,me gusta el sashimi
6106,i like seafood,me gustan los mariscos
6107,i like singing,me gusta cantar
6108,i like stories,me gustan las historias
6109,i like talking,me gusta hablar
6110,i like the dog,me gusta el perro
6111,i like to cook,me gusta cocinar
6112,i like to sing,me gusta cantar
6113,i like to swim,me gusta nadar
6114,i like to talk,me gusta hablar
6115,i like to walk,me gusta caminar
6116,i like to work,me gusta trabajar
6117,i like turtles,me gustan las tortugas
6118,i like walking,me gusta caminar
6119,i like working,me gusta trabajar
6120,i like writing,me gusta escribir
6121,i like writing,me gusta la escritura
6122,i live upstate,vivo en el norte
6123,i live upstate,vivo hacia el norte
6124,i love harvard,me encanta harvard
6125,i love harvard,adoro harvard
6126,i love chicken,me encanta el pollo
6127,i love chicken,me gusta el pollo
6128,i love flowers,adoro las flores
6129,i love his son,amo a su hijo
6130,i love lasagna,adoro la lasana
6131,i love parties,me encantan las fiestas
6132,i love reading,me encanta leer
6133,i love sunsets,me gustan mucho las puestas de sol
6134,i love the sun,me gusta el sol
6135,i love the sun,me gusta mucho el sol
6136,i love winning,adoro ganar
6137,i loved boston,me gustaba boston
6138,i made cookies,hice galletitas
6139,i may be wrong,puede que me equivoque
6140,i may be wrong,puedo estar equivocado
6141,i mean no harm,no quiero hacer dano
6142,i met a friend,me encontre con una amiga
6143,i met him once,lo conoci una vez
6144,i miss you all,os echo de menos a todos
6145,i must buy one,tengo que comprar uno
6146,i must go back,debo regresar
6147,i need a favor,necesito un favor
6148,i need a favor,necesito una gauchada
6149,i need a medic,necesito a un doctor
6150,i need a raise,necesito un aumento
6151,i need a ruler,necesito una regla
6152,i need a smoke,necesito un cigarrillo
6153,i need a snack,necesito un bocadillo
6154,i need a stamp,necesito un sello
6155,i need a towel,necesito una toalla
6156,i need answers,necesito respuestas
6157,i need friends,necesito tener amigos
6158,i need it asap,lo necesito tan pronto como sea posible
6159,i need my keys,necesito mis llaves
6160,i need surgery,necesito cirugia
6161,i need to quit,necesito dejarlo
6162,i need to rest,necesito descansar
6163,i need to stop,tengo que parar
6164,i need to work,necesito trabajar
6165,i needed money,necesitaba dinero
6166,i often travel,viajo a menudo
6167,i owe him,le debo cien dolares
6168,i own this car,tengo este auto
6169,i pay tom well,le pago bien a tom
6170,i pay my taxes,yo pago mis impuestos
6171,i plead guilty,me declaro culpable
6172,i promised tom,se lo prometi a tom
6173,i punished tom,castigue a tom
6174,i quit smoking,deje de fumar
6175,i raise cattle,yo crio ganado
6176,i remember tom,me acuerdo de tom
6177,i remember now,ahora recuerdo
6178,i remember you,te recuerdo
6179,i remember you,me acuerdo de ti
6180,i said go away,dije que te largues
6181,i said goodbye,dije que adios
6182,i said nothing,no dije nada
6183,i said shut up,te dije que te calles
6184,i said shut up,dije cierra la boca
6185,i saw a friend,vi a un amigo
6186,i saw a friend,vi a una amiga
6187,i saw five men,vi a cinco hombres
6188,i saw her swim,la vi nadar
6189,i saw him jump,le vi saltar
6190,i saw it first,yo lo vi primero
6191,i saw it on tv,lo vi en la television
6192,i saw somebody,vi a alguien
6193,i saw the news,vi las noticias
6194,i sneeze a lot,estornudo mucho
6195,i sold the car,vendi el auto
6196,i speak french,hablo frances
6197,i speak french,yo hablo frances
6198,i study french,estudio frances
6199,i study korean,estudio coreano
6200,i study korean,yo estudio coreano
6201,i teach french,enseno frances
6202,i turned right,gire a la derecha
6203,i want a glass,quisiera un vaso
6204,i want a knife,quiero un cuchillo
6205,i want a puppy,quiero un perrito
6206,i want a puppy,quiero un cachorrito
6207,i want another,quiero otro
6208,i want the fan,quiero el ventilador
6209,i want to help,quiero ayudar
6210,i want to know,quiero saberlo
6211,i want to live,quiero vivir
6212,i want to play,quiero jugar
6213,i want to quit,quiero renunciar
6214,i want to rest,quiero descansar
6215,i want to talk,quiero hablar
6216,i want to work,quiero trabajar
6217,i was all ears,era todo oidos
6218,i was an idiot,fui un idiota
6219,i was an idiot,era un idiota
6220,i was an idiot,fui una idiota
6221,i was an idiot,era una idiota
6222,i was arrested,fui arrestado
6223,i was arrested,fui arrestada
6224,i was barefoot,estaba descalzo
6225,i was bleeding,sangraba
6226,i was captured,fui capturado
6227,i was dreaming,estaba sonando
6228,i was insulted,fui ofendido
6229,i was laughing,me estaba riendo
6230,i was left out,me dejaron fuera
6231,i was on leave,estaba de vacaciones
6232,i was restless,yo era inquieto
6233,i was sleeping,estaba durmiendo
6234,i was sweating,estaba sudando
6235,i was thrilled,estaba excitado
6236,i was too fast,yo era demasiado rapido
6237,i was welcomed,fui bienvenido
6238,i was worn out,estaba agotado
6239,i wasnt drunk,no estaba borracho
6240,i wasnt drunk,no estaba ebrio
6241,i wasnt happy,no era feliz
6242,i wasnt lucky,no tuve suerte
6243,i wasnt ready,no estaba listo
6244,i wasnt there,yo no estaba alli
6245,i wear glasses,uso gafas
6246,i went fishing,fui a pescar
6247,i went on foot,fui a pie
6248,i will prosper,prosperare
6249,i will sue you,te demandare
6250,i wish i could,desearia poder
6251,i wish i could,ojala pudiera
6252,id be careful,seria cuidadoso
6253,id be honored,seria un honor para mi
6254,id rather die,preferiria morir
6255,id rather not,preferiria que no
6256,ill ask later,preguntare mas tarde
6257,ill ask later,voy a preguntar mas tarde
6258,ill be around,estare cerca
6259,ill be around,estare por ahi
6260,ill be around,voy a estar por ahi
6261,ill be direct,sere directo
6262,ill be direct,voy a ser directo
6263,ill call them,los llamare
6264,ill come back,volvere
6265,ill get a cab,voy a tomar un taxi
6266,ill get on it,me encargare de eso
6267,ill get on it,me ocupare de eso
6268,ill go by car,ire en auto
6269,ill go by car,ire en coche
6270,ill handle it,yo me ocupare de ello
6271,ill need that,lo necesito
6272,ill pay extra,pagare la extra
6273,ill pay later,pagare mas tarde
6274,ill pay today,pagare hoy
6275,ill phone you,te llamare
6276,ill scold him,lo reganare
6277,ill scold him,le renire
6278,ill see to it,yo me ocupare
6279,ill shoot you,te pego un tiro
6280,ill stay here,me voy a quedar aca
6281,ill stay home,me quedare en casa
6282,ill stay home,me voy a quedar en casa
6283,ill teach tom,le voy a ensenar a tomas
6284,ill thank tom,le dare las gracias a tom
6285,ill treat you,te invitare
6286,ill wait here,yo esperare aqui
6287,im toms boss,soy el jefe de tom
6288,im toms wife,soy la esposa de tom
6289,im a beginner,soy principiante
6290,im a bit busy,estoy un poco ocupada
6291,im a diabetic,soy diabetica
6292,im a free man,soy un hombre libre
6293,im a good guy,soy un buen tipo
6294,im a musician,soy musico
6295,im a nice guy,soy un buen sujeto
6296,im a prisoner,soy un prisionero
6297,im a salesman,soy un hombre de negocios
6298,im all for it,voy con todas por eso
6299,im alone here,estoy sola aca
6300,im an atheist,soy ateo
6301,im an old man,soy un anciano
6302,im astonished,estoy asombrada
6303,im behind him,esta detras de el
6304,im behind you,estoy detras de ti
6305,im dead tired,estoy muerta de cansancio
6306,im dependable,soy confiable
6307,im devastated,estoy devastada
6308,im diplomatic,soy diplomatica
6309,im eating now,ahora estoy comiendo
6310,im eating now,estoy comiendo ahora
6311,im fascinated,estoy fascinada
6312,im feeling it,lo estoy sintiendo
6313,im from kyoto,soy de kioto
6314,im from tokyo,soy de tokio
6315,im going back,voy de regreso
6316,im going bald,me estoy quedando calvo
6317,im happy tom,tom soy feliz
6318,im having fun,me estoy divirtiendo
6319,im in a hurry,estoy apurado
6320,im in the car,estoy en el coche
6321,im interested,estoy interesado
6322,im interested,estoy interesada
6323,im just a kid,soy solo un nino
6324,im mad at you,estoy enfadado contigo
6325,im making tea,estoy preparando te
6326,im meditating,estoy meditando
6327,im no quitter,yo no renuncio asi nada mas
6328,im not a baby,ya no soy un bebe
6329,im not a hero,no soy un heroe
6330,im not afraid,no tengo miedo
6331,im not afraid,no estoy asustado
6332,im not crying,no estoy llorando
6333,im not famous,no soy famoso
6334,im not guilty,no soy culpable
6335,im not hiding,no me estoy escondiendo
6336,im not hungry,yo no tengo hambre
6337,im not insane,no estoy loco
6338,im not insane,no estoy loca
6339,im not joking,no estoy bromeando
6340,im not racist,no soy racista
6341,im not scared,no tengo miedo
6342,im not scared,no estoy asustado
6343,im not skinny,no soy delgado
6344,im not sleepy,no tengo sueno
6345,im not so old,no soy tan mayor
6346,im not strong,no soy fuerte
6347,im often here,yo estoy aqui a menudo
6348,im old enough,soy suficientemente mayor
6349,im on holiday,estoy de vacaciones
6350,im only human,solo soy humano
6351,im optimistic,soy optimista
6352,im out of gas,estoy sin bencina
6353,im reading it,lo estoy leyendo
6354,im really old,soy muy viejo
6355,im remodeling,estoy de reforma
6356,im so excited,estoy tan emocionado
6357,im so excited,estoy muy emocionada
6358,im so thirsty,tengo tanta sed
6359,im so unlucky,soy tan desafortunado
6360,im speechless,estoy sin palabras
6361,im still busy,todavia estoy ocupado
6362,im still busy,todavia estoy ocupada
6363,im still here,todavia estoy aca
6364,im still here,todavia estoy aqui
6365,im the oldest,soy el mas viejo
6366,im undressing,me desnudo
6367,im undressing,me estoy desvistiendo
6368,im undressing,me estoy desnudando
6369,im undressing,me estoy sacando la ropa
6370,im unemployed,estoy en paro
6371,im unemployed,estoy desempleado
6372,im unemployed,estoy parado
6373,im unemployed,estoy desempleada
6374,im used to it,estoy acostumbrado
6375,im used to it,estoy acostumbrada
6376,im very angry,estoy muy enojada
6377,im very angry,estoy muy enojado
6378,im very blunt,soy muy rudo
6379,im very happy,soy muy feliz
6380,im very short,soy muy pequeno
6381,im very sorry,lo siento mucho
6382,im very tired,estoy muy cansado
6383,im wide awake,estoy muy despierto
6384,ive been seen,me vieron
6385,ive been shot,me dispararon
6386,ive been sued,me demandaron
6387,ive earned it,me lo gane
6388,ive got a son,tengo un hijo
6389,ive made stew,he hecho guiso
6390,ive seen that,he visto eso
6391,ive seen that,lo he visto
6392,ive seen them,los he visto
6393,ive seen them,los vi
6394,if only i knew,ojala lo supiera
6395,is tom at home,esta tom en casa
6396,is tom injured,tom esta herido
6397,is tom jealous,tom esta celoso
6398,is tom kidding,tom esta bromeando
6399,is tom married,tomas esta casado
6400,is anyone hurt,alguien esta lastimado
6401,is anyone hurt,se lastimo alguien
6402,is he american,el es americano
6403,is he japanese,es el japones
6404,is he a doctor,es medico
6405,is he a doctor,es doctor
6406,is he a doctor,el es un medico
6407,is he sleeping,esta durmiendo
6408,is he sleeping,esta dormido
6409,is it possible,es posible
6410,is it too late,es demasiado tarde
6411,is she at home,esta ella en casa
6412,is she healthy,esta sano
6413,is that french,eso es frances
6414,is that a bear,es eso un oso
6415,is that a ring,es eso un timbre
6416,is that a ring,es eso un anillo
6417,is that better,esta mejor
6418,is that enough,eso es suficiente
6419,is that for me,es para mi
6420,is that likely,es eso probable
6421,is that normal,es esto normal
6422,is that so bad,acaso es tan malo
6423,is this french,esto es frances
6424,is this a hoax,es esto una broma
6425,is this a hoax,es esto un engano
6426,is this a hoax,es esto una trampa
6427,is this normal,es esto normal
6428,isnt it black,no es negro
6429,isnt it black,acaso no es negro
6430,isnt it black,no es negra
6431,it can be done,se puede hacer
6432,it can be done,puede hacerse
6433,it didnt work,no funciono
6434,it gets better,se pone mejor
6435,it gets better,mejora
6436,it has to stop,tiene que parar
6437,it is saturday,es sabado
6438,it is a secret,es un secreto
6439,it is so early,es tan temprano
6440,it looks great,se ve estupendo
6441,it may be true,es posible que eso sea cierto
6442,it may be true,puede ser cierto
6443,it smells good,huele bien
6444,it smells good,huele rico
6445,it sounds easy,parece facil
6446,it was a dream,era un sueno
6447,it was a mouse,era un raton
6448,it was amusing,fue ameno
6449,it was for tom,era para tom
6450,it was my idea,eso fue idea mia
6451,it was my idea,era idea mia
6452,it was my turn,era mi turno
6453,it was my turn,era mi hora
6454,it was nothing,no era nada
6455,it was on sale,estaba a la venta
6456,it was on sale,estaba en venta
6457,it was perfect,era perfecto
6458,it was planned,fue planeado
6459,it was snowing,habia nevado
6460,it was snowing,estaba nevando
6461,it was snowing,nevo
6462,it was snowing,nevaba
6463,it was so good,estaba tan bien
6464,it wasnt easy,no fue facil
6465,it wasnt hard,no era dificil
6466,it wasnt hard,no fue dificil
6467,it wasnt hers,no era de ella
6468,it wasnt luck,no fue suerte
6469,it wasnt ours,no era nuestro
6470,it wasnt ours,no era nuestra
6471,it wasnt real,no fue real
6472,it wasnt that,no era eso
6473,it wont budge,no cedera
6474,itll be ready,estara listo
6475,its christmas,es navidad
6476,its ok to cry,esta bien llorar
6477,its toms car,es el auto de tom
6478,its toms job,es la tarea de tom
6479,its toms job,es el trabajo de tom
6480,its toms job,es el deber de tom
6481,its wednesday,es miercoles
6482,its wednesday,estamos a miercoles
6483,its a classic,es un clasico
6484,its a classic,ese es un clasico
6485,its a gimmick,es un reclamo
6486,its a mistake,es un error
6487,its a new day,es un nuevo dia
6488,its a problem,ese es un problema
6489,its a problem,es un problema
6490,its all yours,es todo tuyo
6491,its an excuse,es una excusa
6492,its an insult,es un insulto
6493,its beyond me,es superior a mi
6494,its beyond me,me supera
6495,its delicious,es delicioso
6496,its different,es diferente
6497,its hot today,hoy hace calor
6498,its hot today,esta haciendo calor hoy
6499,its identical,es identico
6500,its important,es importante
6501,its no secret,no es ningun secreto
6502,its not cheap,no es barato
6503,its not clean,no esta limpio
6504,its not clean,no esta limpia
6505,its not funny,no es gracioso
6506,its not funny,no es divertido
6507,its not weird,no es raro
6508,its our fault,es culpa nuestra
6509,its ready now,ahora esta listo
6510,its redundant,es redundante
6511,its rush hour,es la hora pico
6512,its safe here,aqui estamos seguros
6513,its their job,es su trabajo
6514,its there now,ahora esta ahi
6515,its this book,es este libro
6516,its too early,es demasiado temprano
6517,its too heavy,es demasiado pesado
6518,its too large,es demasiado grande
6519,its too quiet,hay demasiada calma
6520,its too risky,es demasiado arriesgado
6521,its too short,es muy corto
6522,its too small,es muy pequeno
6523,its up to you,depende de ti
6524,its up to you,es tu decision
6525,its up to you,tu decides
6526,its very dark,esta muy oscuro
6527,its very good,esta muy bien
6528,its very good,es muy bueno
6529,its very late,es muy tarde
6530,its very slow,es muy lento
6531,its vibrating,esta vibrando
6532,its well done,esta bien hecho
6533,its well done,esta hecho bien
6534,its what i am,es lo que soy
6535,its wonderful,es maravilloso
6536,its your book,es tu libro
6537,its your duty,es tu deber
6538,its your life,es tu vida
6539,its your move,es tu turno
6540,its your move,es tu movida
6541,its your move,te toca a ti
6542,its your turn,es tu turno
6543,its your turn,te toca a ti
6544,just follow me,tan solo sigueme
6545,just forget it,olvidalo ya
6546,just go for it,simplemente hazlo
6547,just go for it,limitate a hacerlo
6548,just go for it,hazlo y punto
6549,just go for it,hazlo y ya
6550,just let me go,dejame irme
6551,keep it on you,llevalo contigo
6552,keep it on you,conservalo contigo
6553,keep listening,permanezca a la escucha
6554,keep on trying,sigue intentando
6555,keep on trying,siga intentando
6556,keep searching,sigue buscando
6557,kids are cruel,los ninos son crueles
6558,lean in closer,inclinate mas cerca
6559,leave it there,dejelo ahi
6560,leave it to me,dejamelo a mi
6561,leave me alone,dejame en paz
6562,leave me alone,dejame sola
6563,leave me alone,dejame en paz
6564,leave me alone,dejame solo
6565,leave me alone,dejame sola
6566,leave me alone,dejame solo
6567,leave me alone,dejeme sola
6568,leave the room,sal de la sala
6569,leave the room,sal de la habitacion
6570,leave the room,sali de la habitacion
6571,leave tomorrow,sal manana
6572,leave tomorrow,vete manana
6573,leave tomorrow,idos manana
6574,leave tomorrow,vayanse manana
6575,leave tomorrow,vayase manana
6576,leave us alone,dejanos solos
6577,leave us alone,dejanos solas
6578,lend me a hand,dame una mano
6579,lend me a hand,prestame una mano
6580,let tom answer,deja que responda tom
6581,let tom finish,deja terminar a tom
6582,let me back in,dejame entrar
6583,let me back in,dejame entrar otra vez
6584,let me come in,dejame entrar
6585,let me do this,dejame hacer esto
6586,let me do this,dejeme hacer esto
6587,let me explain,dejame explicar
6588,let me feel it,dejame sentirlo
6589,let me feel it,deja que lo sienta
6590,let me hear it,dejame oirlo
6591,let them fight,dejalos pelear
6592,let us go home,dejanos irnos a casa
6593,lets be brave,seamos valientes
6594,lets be happy,seamos felices
6595,lets continue,continuemos
6596,lets eat here,comamos aqui
6597,lets find out,averiguemoslo
6598,lets go dutch,cada uno pagara lo suyo
6599,lets hope not,esperemos que no
6600,lets hurry up,apuremonos
6601,lets just eat,comamos y ya
6602,lets play tag,juguemos a la tina
6603,lets practice,practiquemos
6604,lets sit down,sentemonos
6605,lets stand up,levantemonos
6606,lets watch tv,veamos la television
6607,life is unfair,la vida es injusta
6608,listen closely,escucha atentamente
6609,listen to this,escucha esto
6610,listen to this,escucha esto
6611,listen to this,escuche esto
6612,live and learn,vive y aprende
6613,live and learn,vivi y aprende
6614,louder please,mas fuerte por favor
6615,lunch is ready,el almuerzo esta preparado
6616,lying is wrong,mentir esta mal
6617,lynn runs fast,lynn corre rapido
6618,make it happen,haz que suceda
6619,make it larger,hazlo mas grande
6620,make it simple,simplifica
6621,make your move,te toca a ti
6622,make your move,mueve tu
6623,make your move,mueves tu
6624,many fish died,muchos peces murieron
6625,mary likes you,mary te quiere
6626,may i eat this,puedo comerme esto
6627,may i help you,puedo ayudarle
6628,may i join you,puedo acompanarle
6629,may i join you,puedo acompanarles
6630,may i join you,puedo unirmeles
6631,may i kiss you,puedo besarte
6632,may i sit down,me puedo sentar
6633,may i sit here,puedo sentarme aqui
6634,may i use this,puedo usar esto
6635,men are greedy,los hombres son avariciosos
6636,mind your step,mira por donde caminas
6637,money is power,dinero es poder
6638,more is needed,se necesita mas
6639,move along now,muevase ya
6640,my brother did,lo hizo mi hermano
6641,my desk is old,mi escritorio es viejo
6642,my dog bit tom,mi perro mordio a tom
6643,my heart hurts,me duele el corazon
6644,my jaw is sore,mi mandibula me duele
6645,my joints ache,me duelen las articulaciones
6646,my name is tom,mi nombre es tom
6647,my name is tom,me llamo tom
6648,my nose itches,me pica la nariz
6649,my nose itches,tengo comezon en la nariz
6650,my tummy hurts,me duele mi estomago
6651,my wife is mad,mi esposa esta loca
6652,never say that,nunca digas eso
6653,no one is home,no hay nadie en casa
6654,no one knew it,nadie lo sabia
6655,no one laughed,nadie se rio
6656,no one shouted,nadie grito
6657,no one told me,nadie me lo dijo
6658,nobody hurt me,nadie me lastimo
6659,nobody laughed,nadie se rio
6660,nobody listens,nadie escucha
6661,nobodys happy,nadie es feliz
6662,nothings free,nada es gratis
6663,now i feel bad,ahora me siento mal
6664,now i know why,ahora se por que
6665,now i remember,ahora recuerdo
6666,now i remember,ahora me acuerdo
6667,now be patient,ahora ten paciencia
6668,only god knows,solo dios lo sabe
6669,only god knows,solo dios sabe
6670,only tom knows,solo tom sabe
6671,open the hatch,abre la trampilla
6672,open your eyes,abre los ojos
6673,pack your bags,haz tus maletas
6674,pack your bags,hagan sus maletas
6675,people like me,gusto a la gente
6676,people like me,la gente me adora
6677,people like me,caigo bien a la gente
6678,please come in,pase adentro por favor
6679,please come in,por favor entre
6680,please do that,por favor hagalo
6681,please go away,vayase por favor
6682,please help me,por favor ayudeme
6683,please hold on,por favor aguarda
6684,please hold on,por favor espere
6685,please hold on,por favor agarrate fuerte
6686,please open it,abrelo por favor
6687,please say yes,por favor di que si
6688,please say yes,por favor diga que si
6689,please say yes,por favor digan que si
6690,please say yes,por favor deci que si
6691,please shut up,callate por favor
6692,please tell me,dime por favor
6693,please tell me,diganme por favor
6694,please try one,por favor pruebe uno
6695,please wake up,despiertese por favor
6696,prepare to die,preparate a morir
6697,prices went up,los precios subieron
6698,prove it to me,demuestramelo
6699,read the meter,lee el contador
6700,read this book,lee este libro
6701,read this book,leed este libro
6702,read your book,lee tu libro
6703,read your book,lean su libro
6704,save me a seat,reservame un asiento
6705,save me a seat,guardame un asiento
6706,say it clearly,habla claramente
6707,say it clearly,hable claramente
6708,say it clearly,dilo claramente
6709,say that again,repitelo
6710,see you monday,te veo el lunes
6711,see you around,te veo por ahi
6712,send me a bill,enviame la cuenta
6713,shall we begin,empezamos
6714,shall we begin,comenzamos
6715,shall we dance,quiere bailar
6716,shall we dance,bailamos
6717,shall we dance,vamos a bailar
6718,she adores him,ella lo adora
6719,she called him,ella lo llamo
6720,she came alone,ella vino sola
6721,she cant swim,no sabe nadar
6722,she choked him,ella lo ahorco
6723,she choked him,ella lo estrangulo
6724,she cooks well,ella cocina bien
6725,she dumped him,ella le dejo
6726,she fooled him,ella le engano
6727,she gave money,ella dio dinero
6728,she got caught,la cogieron
6729,she grew roses,ella cultivo rosas
6730,she has a bike,ella tiene una bicicleta
6731,she has a book,tiene un libro
6732,she helped him,ella le ayudo
6733,she hugged him,ella le abrazo
6734,she is a nurse,ella es una enfermera
6735,she is awkward,ella es torpe
6736,she is dieting,esta a dieta
6737,she is out now,ella esta afuera ahora
6738,she is talking,ella esta hablando
6739,she is walking,ella esta caminando
6740,she isnt poor,ella no es pobre
